"q = (0.000, 0.000, 0.000), band = 2"

"Modulation #","Q [amu^1/2 A"
"1","-12.5"
"2","-12.25"
"3","-12.0"
"4","-11.75"
"5","-11.5"
"6","-11.25"
"7","-11.0"
"8","-10.75"
"9","-10.5"
"10","-10.25"
"11","-10.0"
"12","-9.75"
"13","-9.5"
"14","-9.25"
"15","-9.0"
"16","-8.75"
"17","-8.5"
"18","-8.25"
"19","-8.0"
"20","-7.75"
"21","-7.5"
"22","-7.25"
"23","-7.0"
"24","-6.75"
"25","-6.5"
"26","-6.25"
"27","-6.0"
"28","-5.75"
"29","-5.5"
"30","-5.25"
"31","-5.0"
"32","-4.75"
"33","-4.5"
"34","-4.25"
"35","-4.0"
"36","-3.75"
"37","-3.5"
"38","-3.25"
"39","-3.0"
"40","-2.75"
"41","-2.5"
"42","-2.25"
"43","-2.0"
"44","-1.75"
"45","-1.5"
"46","-1.25"
"47","-1.0"
"48","-0.75"
"49","-0.5"
"50","-0.25"
"51","0.0"
"52","0.25"
"53","0.5"
"54","0.75"
"55","1.0"
"56","1.25"
"57","1.5"
"58","1.75"
"59","2.0"
"60","2.25"
"61","2.5"
"62","2.75"
"63","3.0"
"64","3.25"
"65","3.5"
"66","3.75"
"67","4.0"
"68","4.25"
"69","4.5"
"70","4.75"
"71","5.0"
"72","5.25"
"73","5.5"
"74","5.75"
"75","6.0"
"76","6.25"
"77","6.5"
"78","6.75"
"79","7.0"
"80","7.25"
"81","7.5"
"82","7.75"
"83","8.0"
"84","8.25"
"85","8.5"
"86","8.75"
"87","9.0"
"88","9.25"
"89","9.5"
"90","9.75"
"91","10.0"
"92","10.25"
"93","10.5"
"94","10.75"
"95","11.0"
"96","11.25"
"97","11.5"
"98","11.75"
"99","12.0"
"100","12.25"
"101","12.5"
