"Modulation #","E0 [eV]"
"319","-35.856247"
"320","-35.865934"
"321","-35.873147"
"322","-35.878366"
"323","-35.881982"
"324","-35.88434"
"325","-35.885661"
"326","-35.886086"
"327","-35.885661"
"328","-35.88434"
"329","-35.881982"
"330","-35.878366"
"331","-35.873147"
"332","-35.865934"
"333","-35.856247"
"334","-35.84353"
"335","-35.827182"
"336","-35.806536"
"337","-35.780886"
"338","-35.749489"
"339","-35.711598"
"340","-35.666419"
"341","-35.613224"
"342","-35.675225"
"343","-35.721187"
"344","-35.759556"
"345","-35.791049"
"346","-35.816465"
"347","-35.836572"
"348","-35.852119"
"349","-35.863826"
"350","-35.872375"
"351","-35.878394"
"352","-35.882455"
"353","-35.885061"
"354","-35.88662"
"355","-35.88749"
"356","-35.887916"
"357","-35.888041"
"358","-35.887916"
"359","-35.88749"
"360","-35.88662"
"361","-35.885061"
"362","-35.882455"
"363","-35.878394"
"364","-35.872375"
"365","-35.863827"
"366","-35.852119"
"367","-35.836572"
"368","-35.816465"
"369","-35.791049"
"370","-35.759556"
"371","-35.721187"
"372","-35.675225"
"373","-35.721879"
"374","-35.762192"
"375","-35.79522"
"376","-35.821686"
"377","-35.842402"
"378","-35.858139"
"379","-35.869655"
"380","-35.877684"
"381","-35.882923"
"382","-35.88602"
"383","-35.887565"
"384","-35.88808"
"385","-35.88799"
"386","-35.887676"
"387","-35.887383"
"388","-35.887267"
"389","-35.887383"
"390","-35.887676"
"391","-35.88799"
"392","-35.88808"
"393","-35.887565"
"394","-35.88602"
"395","-35.882923"
"396","-35.877684"
"397","-35.869655"
"398","-35.858139"
"399","-35.842402"
"400","-35.821686"
"401","-35.79522"
"402","-35.762192"
"403","-35.721879"
"404","-35.754355"
"405","-35.790612"
"406","-35.819806"
"407","-35.842665"
"408","-35.859992"
"409","-35.87257"
"410","-35.881167"
"411","-35.886527"
"412","-35.889359"
"413","-35.890326"
"414","-35.890034"
"415","-35.889017"
"416","-35.887719"
"417","-35.886532"
"418","-35.88571"
"419","-35.885418"
"420","-35.88571"
"421","-35.886532"
"422","-35.887719"
"423","-35.889017"
"424","-35.890034"
"425","-35.890326"
"426","-35.889359"
"427","-35.886527"
"428","-35.881167"
"429","-35.87257"
"430","-35.859992"
"431","-35.842665"
"432","-35.819806"
"433","-35.790612"
"434","-35.754355"
"435","-35.773496"
"436","-35.807321"
"437","-35.834206"
"438","-35.854885"
"439","-35.870164"
"440","-35.880831"
"441","-35.887658"
"442","-35.891398"
"443","-35.892767"
"444","-35.892437"
"445","-35.891024"
"446","-35.889073"
"447","-35.887036"
"448","-35.885314"
"449","-35.884169"
"450","-35.883769"
"451","-35.884169"
"452","-35.885314"
"453","-35.887036"
"454","-35.889073"
"455","-35.891024"
"456","-35.892437"
"457","-35.892767"
"458","-35.891398"
"459","-35.887658"
"460","-35.880831"
"461","-35.870164"
"462","-35.854885"
"463","-35.834206"
"464","-35.807321"
"465","-35.773496"
"466","-35.779823"
"467","-35.812835"
"468","-35.838948"
"469","-35.858898"
"470","-35.873492"
"471","-35.883519"
"472","-35.889754"
"473","-35.89295"
"474","-35.893827"
"475","-35.893062"
"476","-35.891273"
"477","-35.889007"
"478","-35.886721"
"479","-35.88482"
"480","-35.883566"
"481","-35.883128"
"482","-35.883566"
"483","-35.88482"
"484","-35.886721"
"485","-35.889007"
"486","-35.891273"
"487","-35.893062"
"488","-35.893827"
"489","-35.89295"
"490","-35.889754"
"491","-35.883519"
"492","-35.873492"
"493","-35.858898"
"494","-35.838948"
"495","-35.812835"
"496","-35.779823"
"497","-35.773496"
"498","-35.807321"
"499","-35.834206"
"500","-35.854885"
"501","-35.870164"
"502","-35.880831"
"503","-35.887658"
"504","-35.891398"
"505","-35.892767"
"506","-35.892437"
"507","-35.891024"
"508","-35.889073"
"509","-35.887036"
"510","-35.885314"
"511","-35.884169"
"512","-35.883769"
"513","-35.884169"
"514","-35.885314"
"515","-35.887036"
"516","-35.889073"
"517","-35.891024"
"518","-35.892437"
"519","-35.892767"
"520","-35.891398"
"521","-35.887658"
"522","-35.880831"
"523","-35.870164"
"524","-35.854885"
"525","-35.834206"
"526","-35.807321"
"527","-35.773496"
"528","-35.754355"
"529","-35.790612"
"530","-35.819806"
"531","-35.842665"
"532","-35.859992"
"533","-35.87257"
"534","-35.881167"
"535","-35.886527"
"536","-35.889359"
"537","-35.890326"
"538","-35.890034"
"539","-35.889017"
"540","-35.887719"
"541","-35.886532"
"542","-35.88571"
"543","-35.885418"
"544","-35.88571"
"545","-35.886532"
"546","-35.887719"
"547","-35.889017"
"548","-35.890034"
"549","-35.890326"
"550","-35.889359"
"551","-35.886527"
"552","-35.881167"
"553","-35.87257"
"554","-35.859992"
"555","-35.842665"
"556","-35.819806"
"557","-35.790612"
"558","-35.754355"
"559","-35.721879"
"560","-35.762192"
"561","-35.79522"
"562","-35.821686"
"563","-35.842402"
"564","-35.858139"
"565","-35.869655"
"566","-35.877684"
"567","-35.882923"
"568","-35.88602"
"569","-35.887565"
"570","-35.88808"
"571","-35.88799"
"572","-35.887676"
"573","-35.887383"
"574","-35.887267"
"575","-35.887383"
"576","-35.887676"
"577","-35.88799"
"578","-35.88808"
"579","-35.887565"
"580","-35.88602"
"581","-35.882923"
"582","-35.877684"
"583","-35.869655"
"584","-35.858139"
"585","-35.842402"
"586","-35.821686"
"587","-35.79522"
"588","-35.762192"
"589","-35.721879"
"590","-35.675225"
"591","-35.721187"
"592","-35.759556"
"593","-35.791049"
"594","-35.816465"
"595","-35.836572"
"596","-35.852119"
"597","-35.863827"
"598","-35.872375"
"599","-35.878394"
"600","-35.882455"
"601","-35.885061"
"602","-35.88662"
"603","-35.88749"
"604","-35.887916"
"605","-35.888041"
"606","-35.887916"
"607","-35.88749"
"608","-35.88662"
"609","-35.885061"
"610","-35.882455"
"611","-35.878394"
"612","-35.872375"
"613","-35.863827"
"614","-35.852119"
"615","-35.836572"
"616","-35.816465"
"617","-35.791049"
"618","-35.759556"
"619","-35.721187"
"620","-35.675225"
"621","-35.613224"
"622","-35.666419"
"623","-35.711598"
"624","-35.749489"
"625","-35.780886"
"626","-35.806536"
"627","-35.827182"
"628","-35.84353"
"629","-35.856247"
"630","-35.865934"
"631","-35.873147"
"632","-35.878366"
"633","-35.881982"
"634","-35.88434"
"635","-35.885661"
"636","-35.886086"
"637","-35.885661"
"638","-35.88434"
"639","-35.881982"
"640","-35.878366"
"641","-35.873147"
"642","-35.865934"
"643","-35.856247"
"644","-35.84353"
"645","-35.827182"
"646","-35.806536"
"647","-35.780886"
"648","-35.749489"
"649","-35.711598"
"650","-35.666419"
"651","-35.613224"
"652","-35.534376"
"653","-35.596373"
"654","-35.649828"
"655","-35.695468"
"656","-35.734075"
"657","-35.766407"
"658","-35.793183"
"659","-35.815089"
"660","-35.832775"
"661","-35.846831"
"662","-35.857788"
"663","-35.866106"
"664","-35.872155"
"665","-35.876265"
"666","-35.878643"
"667","-35.879421"
"668","-35.878643"
"669","-35.876265"
"670","-35.872155"
"671","-35.866106"
"672","-35.857788"
"673","-35.846831"
"674","-35.832775"
"675","-35.815089"
"676","-35.793183"
"677","-35.766407"
"678","-35.734075"
"679","-35.695468"
"680","-35.649828"
"681","-35.596373"
"682","-35.534376"
"683","-35.436909"
"684","-35.509273"
"685","-35.57245"
"686","-35.627162"
"687","-35.674199"
"688","-35.714303"
"689","-35.748188"
"690","-35.776531"
"691","-35.799961"
"692","-35.819062"
"693","-35.834322"
"694","-35.846193"
"695","-35.855026"
"696","-35.861137"
"697","-35.864721"
"698","-35.865901"
"699","-35.864721"
"700","-35.861137"
"701","-35.855026"
"702","-35.846193"
"703","-35.834322"
"704","-35.819062"
"705","-35.799961"
"706","-35.776531"
"707","-35.748188"
"708","-35.714303"
"709","-35.674199"
"710","-35.627162"
"711","-35.57245"
"712","-35.509273"
"713","-35.436909"
"714","-35.318785"
"715","-35.403089"
"716","-35.477431"
"717","-35.542543"
"718","-35.599208"
"719","-35.648175"
"720","-35.690132"
"721","-35.725758"
"722","-35.755676"
"723","-35.780434"
"724","-35.800528"
"725","-35.816388"
"726","-35.828338"
"727","-35.836685"
"728","-35.841621"
"729","-35.843251"
"730","-35.841621"
"731","-35.836685"
"732","-35.828338"
"733","-35.816388"
"734","-35.800528"
"735","-35.780434"
"736","-35.755676"
"737","-35.725758"
"738","-35.690132"
"739","-35.648175"
"740","-35.599208"
"741","-35.542543"
"742","-35.477431"
"743","-35.403089"
"744","-35.318785"
"745","-35.177793"
"746","-35.275633"
"747","-35.362592"
"748","-35.439422"
"749","-35.506908"
"750","-35.565794"
"751","-35.616787"
"752","-35.660544"
"753","-35.697672"
"754","-35.728718"
"755","-35.754162"
"756","-35.774414"
"757","-35.789795"
"758","-35.800606"
"759","-35.807016"
"760","-35.80914"
"761","-35.807016"
"762","-35.800606"
