"Mode 1","q = (0.000, 0.000, 0.000), band = 1"
"Mode 2","q = (0.000, 0.000, 0.000), band = 2"

"Modulation #","Q_1 [amu^1/2 A]","Q_2 [amu^1/2 A]"
"230","-4.0","-1.5"
"231","-4.0","-1.0"
"232","-4.0","-0.5"
"233","-4.0","0.0"
"234","-4.0","0.5"
"235","-4.0","1.0"
"236","-4.0","1.5"
"237","-4.0","2.0"
"238","-4.0","2.5"
"239","-4.0","3.0"
"240","-4.0","3.5"
"241","-4.0","4.0"
"242","-4.0","4.5"
"243","-4.0","5.0"
"244","-4.0","5.5"
"245","-4.0","6.0"
"246","-4.0","6.5"
"247","-4.0","7.0"
"248","-4.0","7.5"
"249","-3.5","-7.5"
"250","-3.5","-7.0"
"251","-3.5","-6.5"
"252","-3.5","-6.0"
"253","-3.5","-5.5"
"254","-3.5","-5.0"
"255","-3.5","-4.5"
"256","-3.5","-4.0"
"257","-3.5","-3.5"
"258","-3.5","-3.0"
"259","-3.5","-2.5"
"260","-3.5","-2.0"
"261","-3.5","-1.5"
"262","-3.5","-1.0"
"263","-3.5","-0.5"
"264","-3.5","0.0"
"265","-3.5","0.5"
"266","-3.5","1.0"
"267","-3.5","1.5"
"268","-3.5","2.0"
"269","-3.5","2.5"
"270","-3.5","3.0"
"271","-3.5","3.5"
"272","-3.5","4.0"
"273","-3.5","4.5"
"274","-3.5","5.0"
"275","-3.5","5.5"
"276","-3.5","6.0"
"277","-3.5","6.5"
"278","-3.5","7.0"
"279","-3.5","7.5"
"280","-3.0","-7.5"
"281","-3.0","-7.0"
"282","-3.0","-6.5"
"283","-3.0","-6.0"
"284","-3.0","-5.5"
"285","-3.0","-5.0"
"286","-3.0","-4.5"
"287","-3.0","-4.0"
"288","-3.0","-3.5"
"289","-3.0","-3.0"
"290","-3.0","-2.5"
"291","-3.0","-2.0"
"292","-3.0","-1.5"
"293","-3.0","-1.0"
"294","-3.0","-0.5"
"295","-3.0","0.0"
"296","-3.0","0.5"
"297","-3.0","1.0"
"298","-3.0","1.5"
"299","-3.0","2.0"
"300","-3.0","2.5"
"301","-3.0","3.0"
"302","-3.0","3.5"
"303","-3.0","4.0"
"304","-3.0","4.5"
"305","-3.0","5.0"
"306","-3.0","5.5"
"307","-3.0","6.0"
"308","-3.0","6.5"
"309","-3.0","7.0"
"310","-3.0","7.5"
"311","-2.5","-7.5"
"312","-2.5","-7.0"
"313","-2.5","-6.5"
"314","-2.5","-6.0"
"315","-2.5","-5.5"
"316","-2.5","-5.0"
"317","-2.5","-4.5"
"318","-2.5","-4.0"
"319","-2.5","-3.5"
"320","-2.5","-3.0"
"321","-2.5","-2.5"
"322","-2.5","-2.0"
"323","-2.5","-1.5"
"324","-2.5","-1.0"
"325","-2.5","-0.5"
"326","-2.5","0.0"
"327","-2.5","0.5"
"328","-2.5","1.0"
"329","-2.5","1.5"
"330","-2.5","2.0"
"331","-2.5","2.5"
"332","-2.5","3.0"
"333","-2.5","3.5"
"334","-2.5","4.0"
"335","-2.5","4.5"
"336","-2.5","5.0"
"337","-2.5","5.5"
"338","-2.5","6.0"
"339","-2.5","6.5"
"340","-2.5","7.0"
"341","-2.5","7.5"
"342","-2.0","-7.5"
"343","-2.0","-7.0"
"344","-2.0","-6.5"
"345","-2.0","-6.0"
"346","-2.0","-5.5"
"347","-2.0","-5.0"
"348","-2.0","-4.5"
"349","-2.0","-4.0"
"350","-2.0","-3.5"
"351","-2.0","-3.0"
"352","-2.0","-2.5"
"353","-2.0","-2.0"
"354","-2.0","-1.5"
"355","-2.0","-1.0"
"356","-2.0","-0.5"
"357","-2.0","0.0"
"358","-2.0","0.5"
"359","-2.0","1.0"
"360","-2.0","1.5"
"361","-2.0","2.0"
"362","-2.0","2.5"
"363","-2.0","3.0"
"364","-2.0","3.5"
"365","-2.0","4.0"
"366","-2.0","4.5"
"367","-2.0","5.0"
"368","-2.0","5.5"
"369","-2.0","6.0"
"370","-2.0","6.5"
"371","-2.0","7.0"
"372","-2.0","7.5"
"373","-1.5","-7.5"
"374","-1.5","-7.0"
"375","-1.5","-6.5"
"376","-1.5","-6.0"
"377","-1.5","-5.5"
"378","-1.5","-5.0"
"379","-1.5","-4.5"
"380","-1.5","-4.0"
"381","-1.5","-3.5"
"382","-1.5","-3.0"
"383","-1.5","-2.5"
"384","-1.5","-2.0"
"385","-1.5","-1.5"
"386","-1.5","-1.0"
"387","-1.5","-0.5"
"388","-1.5","0.0"
"389","-1.5","0.5"
"390","-1.5","1.0"
"391","-1.5","1.5"
"392","-1.5","2.0"
"393","-1.5","2.5"
"394","-1.5","3.0"
"395","-1.5","3.5"
"396","-1.5","4.0"
"397","-1.5","4.5"
"398","-1.5","5.0"
"399","-1.5","5.5"
"400","-1.5","6.0"
"401","-1.5","6.5"
"402","-1.5","7.0"
"403","-1.5","7.5"
"404","-1.0","-7.5"
"405","-1.0","-7.0"
"406","-1.0","-6.5"
"407","-1.0","-6.0"
"408","-1.0","-5.5"
"409","-1.0","-5.0"
"410","-1.0","-4.5"
"411","-1.0","-4.0"
"412","-1.0","-3.5"
"413","-1.0","-3.0"
"414","-1.0","-2.5"
"415","-1.0","-2.0"
"416","-1.0","-1.5"
"417","-1.0","-1.0"
"418","-1.0","-0.5"
"419","-1.0","0.0"
"420","-1.0","0.5"
"421","-1.0","1.0"
"422","-1.0","1.5"
"423","-1.0","2.0"
"424","-1.0","2.5"
"425","-1.0","3.0"
"426","-1.0","3.5"
"427","-1.0","4.0"
"428","-1.0","4.5"
"429","-1.0","5.0"
