"Modulation #","E0 [eV]"
"1","-34.095715"
"2","-34.242342"
"3","-34.381621"
"4","-34.513598"
"5","-34.638338"
"6","-34.755919"
"7","-34.86644"
"8","-34.970002"
"9","-35.066743"
"10","-35.156819"
"11","-35.240375"
"12","-35.317585"
"13","-35.388632"
"14","-35.453714"
"15","-35.513042"
"16","-35.566837"
"17","-35.615342"
"18","-35.658777"
"19","-35.697404"
"20","-35.731479"
"21","-35.76129"
"22","-35.787072"
"23","-35.80914"
"24","-35.827767"
"25","-35.843251"
"26","-35.855862"
"27","-35.865901"
"28","-35.873658"
"29","-35.879421"
"30","-35.883471"
"31","-35.886086"
"32","-35.887529"
"33","-35.888041"
"34","-35.887885"
"35","-35.887267"
"36","-35.886387"
"37","-35.885418"
"38","-35.884506"
"39","-35.883769"
"40","-35.883293"
"41","-35.883128"
"42","-35.883293"
"43","-35.883769"
"44","-35.884506"
"45","-35.885418"
"46","-35.886387"
"47","-35.887267"
"48","-35.887885"
"49","-35.888041"
"50","-35.887529"
"51","-35.886086"
"52","-35.883471"
"53","-35.879421"
"54","-35.873658"
"55","-35.865901"
"56","-35.855862"
"57","-35.843251"
"58","-35.827767"
"59","-35.80914"
"60","-35.787072"
"61","-35.76129"
"62","-35.731479"
"63","-35.697404"
"64","-35.658777"
"65","-35.615342"
"66","-35.566837"
"67","-35.513042"
"68","-35.453714"
"69","-35.388632"
"70","-35.317585"
"71","-35.240375"
"72","-35.156819"
"73","-35.066743"
"74","-34.970002"
"75","-34.86644"
"76","-34.755919"
"77","-34.638338"
"78","-34.513598"
"79","-34.381621"
"80","-34.242342"
"81","-34.095715"
