"U_0 [eV]","-35.883128"

"Q [amu^1/2 A]","U(Q) [eV]","dU(Q) [meV]"
"-10.0","-34.095715","1787.413000000001"
"-9.75","-34.242342","1640.7859999999985"
"-9.5","-34.381621","1501.5069999999967"
"-9.25","-34.513598","1369.5299999999975"
"-9.0","-34.638338","1244.7900000000018"
"-8.75","-34.755919","1127.2090000000005"
"-8.5","-34.86644","1016.688000000002"
"-8.25","-34.970002","913.1259999999984"
"-8.0","-35.066743","816.3849999999968"
"-7.75","-35.156819","726.3090000000005"
"-7.5","-35.240375","642.752999999999"
"-7.25","-35.317585","565.5429999999981"
"-7.0","-35.388632","494.49599999999805"
"-6.75","-35.453714","429.4140000000013"
"-6.5","-35.513042","370.0860000000006"
"-6.25","-35.566837","316.29099999999966"
"-6.0","-35.615342","267.78600000000097"
"-5.75","-35.658777","224.35099999999863"
"-5.5","-35.697404","185.72400000000044"
"-5.25","-35.731479","151.64899999999903"
"-5.0","-35.76129","121.83799999999678"
"-4.75","-35.787072","96.05599999999725"
"-4.5","-35.80914","73.98799999999994"
"-4.25","-35.827767","55.36099999999777"
"-4.0","-35.843251","39.876999999997054"
"-3.75","-35.855862","27.265999999997348"
"-3.5","-35.865901","17.226999999998327"
"-3.25","-35.873658","9.470000000000312"
"-3.0","-35.879421","3.7069999999985725"
"-2.75","-35.883471","-0.3430000000008704"
"-2.5","-35.886086","-2.957999999999572"
"-2.25","-35.887529","-4.4010000000014315"
"-2.0","-35.888041","-4.913000000001944"
"-1.75","-35.887885","-4.756999999997902"
"-1.5","-35.887267","-4.139000000002113"
"-1.25","-35.886387","-3.258999999999901"
"-1.0","-35.885418","-2.2900000000021237"
"-0.75","-35.884506","-1.3780000000025439"
"-0.5","-35.883769","-0.641000000001668"
"-0.25","-35.883293","-0.16500000000263526"
"0.0","-35.883128","0.0"
"0.25","-35.883293","-0.16500000000263526"
"0.5","-35.883769","-0.641000000001668"
"0.75","-35.884506","-1.3780000000025439"
"1.0","-35.885418","-2.2900000000021237"
"1.25","-35.886387","-3.258999999999901"
"1.5","-35.887267","-4.139000000002113"
"1.75","-35.887885","-4.756999999997902"
"2.0","-35.888041","-4.913000000001944"
"2.25","-35.887529","-4.4010000000014315"
"2.5","-35.886086","-2.957999999999572"
"2.75","-35.883471","-0.3430000000008704"
"3.0","-35.879421","3.7069999999985725"
"3.25","-35.873658","9.470000000000312"
"3.5","-35.865901","17.226999999998327"
"3.75","-35.855862","27.265999999997348"
"4.0","-35.843251","39.876999999997054"
"4.25","-35.827767","55.36099999999777"
"4.5","-35.80914","73.98799999999994"
"4.75","-35.787072","96.05599999999725"
"5.0","-35.76129","121.83799999999678"
"5.25","-35.731479","151.64899999999903"
"5.5","-35.697404","185.72400000000044"
"5.75","-35.658777","224.35099999999863"
"6.0","-35.615342","267.78600000000097"
"6.25","-35.566837","316.29099999999966"
"6.5","-35.513042","370.0860000000006"
"6.75","-35.453714","429.4140000000013"
"7.0","-35.388632","494.49599999999805"
"7.25","-35.317585","565.5429999999981"
"7.5","-35.240375","642.752999999999"
"7.75","-35.156819","726.3090000000005"
"8.0","-35.066743","816.3849999999968"
"8.25","-34.970002","913.1259999999984"
"8.5","-34.86644","1016.688000000002"
"8.75","-34.755919","1127.2090000000005"
"9.0","-34.638338","1244.7900000000018"
"9.25","-34.513598","1369.5299999999975"
"9.5","-34.381621","1501.5069999999967"
"9.75","-34.242342","1640.7859999999985"
"10.0","-34.095715","1787.413000000001"
