# T [K]  Frequency [THz]
0  1.29954
1  1.29932
2  1.29360
3  1.27926
4  1.25945
5  1.23657
6  1.21187
7  1.18602
8  1.15942
9  1.13237
10  1.10517
11  1.07813
12  1.05156
13  1.02575
14  1.00095
15  0.97738
16  0.95518
17  0.93444
18  0.91521
19  0.89746
20  0.88117
21  0.86626
22  0.85267
23  0.84029
24  0.82905
25  0.81884
26  0.80959
27  0.80120
28  0.79361
29  0.78674
30  0.78052
31  0.77490
32  0.76982
33  0.76523
34  0.76109
35  0.75736
36  0.75401
37  0.75099
38  0.74829
39  0.74587
40  0.74372
41  0.74180
42  0.74011
43  0.73862
44  0.73732
45  0.73619
46  0.73522
47  0.73440
48  0.73371
49  0.73315
50  0.73271
60  0.73320
70  0.73935
80  0.74845
90  0.75913
100  0.77065
110  0.78258
120  0.79466
130  0.80673
140  0.81870
150  0.83051
160  0.84212
170  0.85352
180  0.86469
190  0.87562
200  0.88632
210  0.89679
220  0.90703
230  0.91706
240  0.92687
250  0.93647
260  0.94587
270  0.95508
280  0.96410
290  0.97294
300  0.98161
310  0.99012
320  0.99846
330  1.00665
340  1.01469
350  1.02258
360  1.03034
370  1.03797
380  1.04546
390  1.05284
400  1.06009
410  1.06722
420  1.07425
430  1.08116
440  1.08797
450  1.09468
460  1.10129
470  1.10780
480  1.11422
490  1.12055
500  1.12680
510  1.13296
520  1.13903
530  1.14503
540  1.15095
550  1.15679
560  1.16256
570  1.16826
580  1.17389
590  1.17945
600  1.18495
610  1.19038
620  1.19575
630  1.20105
640  1.20630
650  1.21149
660  1.21662
670  1.22170
680  1.22672
690  1.23169
700  1.23661
710  1.24147
720  1.24629
730  1.25106
740  1.25578
750  1.26045
760  1.26508
770  1.26967
780  1.27421
790  1.27871
800  1.28316
810  1.28758
820  1.29196
830  1.29629
840  1.30059
850  1.30485
860  1.30907
870  1.31326
880  1.31741
890  1.32152
900  1.32560
910  1.32965
920  1.33367
930  1.33765
940  1.34160
950  1.34551
960  1.34940
970  1.35326
980  1.35708
990  1.36088
1000  1.36465
